Airline,Price,Start_Day,Start_time,take_place,End_time,destination,flight_time,transit,total_time_hour,End_day,Is_Transit,Is_VietJet_Air,Is_Vietnam_Airlines,Is_Bamboo_Airways,Is_Vietravel_Airlines,Id_Plane
"VietJet Air, Vietnam Airlines",2083433,02-10-2025,11:10,DAD,18:20,DLI,7h 10m,"1 điểm dừng
Tự trung chuyển",7.17,02-10-2025,1,1,1,0,0,780
"Vietravel Airlines, VietJet Air",2289024,02-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,02-10-2025,1,1,0,0,1,781
"VietJet Air, Vietnam Airlines",2306510,02-10-2025,06:55,DAD,11:10,DLI,4h 15m,"1 điểm dừng
Tự trung chuyển",4.25,02-10-2025,1,1,1,0,0,782
Vietnam Airlines,1864486,03-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,03-10-2025,0,0,0,0,0,783
"Vietravel Airlines, Bamboo Airways",2049585,03-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,03-10-2025,1,0,0,1,1,785
"VietJet Air, Bamboo Airways",2122250,03-10-2025,12:15,DAD,17:40,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,03-10-2025,1,1,0,1,0,786
"VietJet Air, Bamboo Airways",2122250,03-10-2025,11:10,DAD,17:40,DLI,6h 30m,"1 điểm dừng
Tự trung chuyển",6.5,03-10-2025,1,1,0,1,0,787
VietJet Air,2228986,03-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,03-10-2025,0,0,0,0,0,788
"Vietravel Airlines, Vietnam Airlines",2434200,03-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,03-10-2025,1,0,1,0,1,789
"Vietnam Airlines, VietJet Air",2893913,03-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,03-10-2025,1,1,1,0,0,790
Vietnam Airlines,1718435,04-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,04-10-2025,0,0,0,0,0,791
VietJet Air,1288812,04-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,04-10-2025,0,0,0,0,0,793
"Vietravel Airlines, Bamboo Airways",1926444,04-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,04-10-2025,1,0,0,1,1,794
"Vietravel Airlines, Vietnam Airlines",1954252,04-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,04-10-2025,1,0,1,0,1,795
"VietJet Air, Bamboo Airways",2055625,04-10-2025,12:15,DAD,17:40,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,04-10-2025,1,1,0,1,0,796
"VietJet Air, Vietnam Airlines",2083433,04-10-2025,12:15,DAD,18:20,DLI,6h 5m,"1 điểm dừng
Tự trung chuyển",6.08,04-10-2025,1,1,1,0,0,797
"Vietravel Airlines, VietJet Air",2285880,04-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,04-10-2025,1,1,0,0,1,798
"VietJet Air, Vietnam Airlines",2306510,04-10-2025,06:55,DAD,11:10,DLI,4h 15m,"1 điểm dừng
Tự trung chuyển",4.25,04-10-2025,1,1,1,0,0,799
Vietnam Airlines,1864486,05-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,05-10-2025,0,0,0,0,0,800
VietJet Air,1293782,05-10-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,05-10-2025,0,0,0,0,0,802
VietJet Air,2228986,05-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,05-10-2025,0,0,0,0,0,803
"Vietravel Airlines, Vietnam Airlines",2441781,05-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,05-10-2025,1,0,1,0,1,804
"Vietnam Airlines, VietJet Air",3039882,05-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,05-10-2025,1,1,1,0,0,805
Vietnam Airlines,1718435,06-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,06-10-2025,0,0,0,0,0,806
VietJet Air,1151192,06-10-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,06-10-2025,0,0,0,0,0,808
"VietJet Air, Vietnam Airlines",1868664,06-10-2025,06:55,DAD,13:50,DLI,6h 55m,"1 điểm dừng
Tự trung chuyển",6.92,06-10-2025,1,1,1,0,0,809
VietJet Air,2003006,06-10-2025,06:55,DAD,13:50,DLI,6h 55m,"1 điểm dừng
Tự trung chuyển",6.92,06-10-2025,0,0,0,0,0,810
VietJet Air,2007993,06-10-2025,06:55,DAD,12:15,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,06-10-2025,0,0,0,0,0,811
VietJet Air,2228986,06-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,06-10-2025,0,0,0,0,0,812
"Vietravel Airlines, Vietnam Airlines",2483613,06-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,06-10-2025,1,0,1,0,1,813
"Vietnam Airlines, VietJet Air",2893913,06-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,06-10-2025,1,1,1,0,0,814
Vietnam Airlines,1718435,07-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,07-10-2025,0,0,0,0,0,815
VietJet Air,1152237,07-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,07-10-2025,0,0,0,0,0,817
"Vietravel Airlines, Bamboo Airways",1794219,07-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,07-10-2025,1,0,0,1,1,818
"Vietravel Airlines, Vietnam Airlines",1842714,07-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,07-10-2025,1,0,1,0,1,819
"Vietravel Airlines, VietJet Air",1874112,07-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,07-10-2025,1,1,0,0,1,820
VietJet Air,2006286,07-10-2025,05:30,DAD,10:50,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,07-10-2025,0,0,0,0,0,821
VietJet Air,2006286,07-10-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,07-10-2025,0,0,0,0,0,822
"VietJet Air, Vietnam Airlines",2197965,07-10-2025,06:55,DAD,11:10,DLI,4h 15m,"1 điểm dừng
Tự trung chuyển",4.25,07-10-2025,1,1,1,0,0,823
Vietnam Airlines,1718435,08-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,08-10-2025,0,0,0,0,0,824
"Vietravel Airlines, VietJet Air",1930628,08-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,08-10-2025,1,1,0,0,1,826
VietJet Air,2228986,08-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,08-10-2025,0,0,0,0,0,827
"Vietravel Airlines, Bamboo Airways",1850735,08-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,08-10-2025,1,0,0,1,1,828
"Vietravel Airlines, Vietnam Airlines",1899230,08-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,08-10-2025,1,0,1,0,1,829
VietJet Air,2006286,08-10-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,08-10-2025,0,0,0,0,0,830
"Vietnam Airlines, VietJet Air",2893913,08-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,08-10-2025,1,1,1,0,0,831
Vietnam Airlines,1718435,09-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,09-10-2025,0,0,0,0,0,832
VietJet Air,1295353,09-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,09-10-2025,0,0,0,0,0,834
VietJet Air,1662770,09-10-2025,14:55,DAD,19:30,DLI,4h 35m,"1 điểm dừng
Tự trung chuyển",4.58,09-10-2025,0,0,0,0,0,835
"Vietravel Airlines, Vietnam Airlines",1954252,09-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,09-10-2025,1,0,1,0,1,836
Vietnam Airlines,1864486,10-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,10-10-2025,0,0,0,0,0,837
"Vietravel Airlines, Vietnam Airlines",2010768,10-10-2025,11:05,DAD,06:40,DLI,19h 35m,"1 điểm dừng
Tự trung chuyển",19.58,11-10-2025,1,0,1,0,1,839
"Vietravel Airlines, Bamboo Airways",2049585,10-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,10-10-2025,1,0,0,1,1,840
"VietJet Air, Bamboo Airways",2058618,10-10-2025,23:15,DAD,17:40,DLI,18h 25m,"1 điểm dừng
Tự trung chuyển",18.42,11-10-2025,1,1,0,1,0,841
"VietJet Air, Bamboo Airways",2058618,10-10-2025,21:05,DAD,17:40,DLI,20h 35m,"1 điểm dừng
Tự trung chuyển",20.58,11-10-2025,1,1,0,1,0,842
"VietJet Air, Bamboo Airways",2058618,10-10-2025,19:45,DAD,17:40,DLI,21h 55m,"1 điểm dừng
Tự trung chuyển",21.92,11-10-2025,1,1,0,1,0,843
"VietJet Air, Bamboo Airways",2058618,10-10-2025,18:05,DAD,17:40,DLI,23h 35m,"1 điểm dừng
Tự trung chuyển",23.58,11-10-2025,1,1,0,1,0,844
"VietJet Air, Vietnam Airlines",2086426,10-10-2025,12:15,DAD,06:40,DLI,18h 25m,"1 điểm dừng
Tự trung chuyển",18.42,11-10-2025,1,1,1,0,0,845
"VietJet Air, Vietnam Airlines",2086426,10-10-2025,11:10,DAD,06:40,DLI,19h 30m,"1 điểm dừng
Tự trung chuyển",19.5,11-10-2025,1,1,1,0,0,846
"VietJet Air, Bamboo Airways",2125243,10-10-2025,12:15,DAD,17:40,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,10-10-2025,1,1,0,1,0,847
"VietJet Air, Bamboo Airways",2125243,10-10-2025,11:10,DAD,17:40,DLI,6h 30m,"1 điểm dừng
Tự trung chuyển",6.5,10-10-2025,1,1,0,1,0,848
"VietJet Air, Bamboo Airways",2125243,10-10-2025,07:40,DAD,17:40,DLI,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,10-10-2025,1,1,0,1,0,849
"VietJet Air, Bamboo Airways",2125243,10-10-2025,05:30,DAD,17:40,DLI,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,10-10-2025,1,1,0,1,0,850
VietJet Air,2203528,10-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,10-10-2025,0,0,0,0,0,851
"Vietravel Airlines, VietJet Air",2342396,10-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,10-10-2025,1,1,0,0,1,852
VietJet Air,2418054,10-10-2025,05:30,DAD,10:50,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,10-10-2025,0,0,0,0,0,853
VietJet Air,2418054,10-10-2025,11:10,DAD,16:30,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,10-10-2025,0,0,0,0,0,854
VietJet Air,2418054,10-10-2025,08:40,DAD,16:30,DLI,7h 50m,"1 điểm dừng
Tự trung chuyển",7.83,10-10-2025,0,0,0,0,0,855
"Vietravel Airlines, Vietnam Airlines",2434200,10-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,10-10-2025,1,0,1,0,1,856
"VietJet Air, Vietnam Airlines",2509858,10-10-2025,12:15,DAD,18:20,DLI,6h 5m,"1 điểm dừng
Tự trung chuyển",6.08,10-10-2025,1,1,1,0,0,857
Vietnam Airlines,1718435,11-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,11-10-2025,0,0,0,0,0,858
VietJet Air,1291690,11-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,11-10-2025,0,0,0,0,0,860
VietJet Air,1662770,11-10-2025,14:55,DAD,19:30,DLI,4h 35m,"1 điểm dừng
Tự trung chuyển",4.58,11-10-2025,0,0,0,0,0,861
"Vietravel Airlines, Vietnam Airlines",1954252,11-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,11-10-2025,1,0,1,0,1,862
Vietnam Airlines,1864486,12-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,12-10-2025,0,0,0,0,0,863
VietJet Air,1288812,12-10-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,12-10-2025,0,0,0,0,0,865
VietJet Air,2228986,12-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,12-10-2025,0,0,0,0,0,866
"Vietravel Airlines, Vietnam Airlines",2441781,12-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,12-10-2025,1,0,1,0,1,867
"Vietnam Airlines, VietJet Air",3039882,12-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,12-10-2025,1,1,1,0,0,868
Vietnam Airlines,1718435,13-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,13-10-2025,0,0,0,0,0,869
VietJet Air,1152237,13-10-2025,13:35,DAD,14:40,DLI,1h 5m,Bay thẳng,1.08,13-10-2025,0,0,0,0,0,871
VietJet Air,1997636,13-10-2025,06:55,DAD,12:15,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,13-10-2025,0,0,0,0,0,872
VietJet Air,1997636,13-10-2025,05:30,DAD,12:15,DLI,6h 45m,"1 điểm dừng
Tự trung chuyển",6.75,13-10-2025,0,0,0,0,0,873
VietJet Air,1997636,13-10-2025,06:55,DAD,13:50,DLI,6h 55m,"1 điểm dừng
Tự trung chuyển",6.92,13-10-2025,0,0,0,0,0,874
VietJet Air,2228986,13-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,13-10-2025,0,0,0,0,0,875
"Vietravel Airlines, Vietnam Airlines",2441781,13-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,13-10-2025,1,0,1,0,1,876
"Vietnam Airlines, VietJet Air",2893913,13-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,13-10-2025,1,1,1,0,0,877
Vietnam Airlines,1718435,14-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,14-10-2025,0,0,0,0,0,878
VietJet Air,1152237,14-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,14-10-2025,0,0,0,0,0,880
VietJet Air,1662770,14-10-2025,14:55,DAD,19:30,DLI,4h 35m,"1 điểm dừng
Tự trung chuyển",4.58,14-10-2025,0,0,0,0,0,881
"Vietravel Airlines, Vietnam Airlines",1842714,14-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,14-10-2025,1,0,1,0,1,882
Vietnam Airlines,1718435,15-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,15-10-2025,0,0,0,0,0,883
"Vietravel Airlines, Bamboo Airways",1794219,15-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,15-10-2025,1,0,0,1,1,885
"Vietravel Airlines, Vietnam Airlines",1842714,15-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,15-10-2025,1,0,1,0,1,886
"Vietravel Airlines, VietJet Air",1874112,15-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,15-10-2025,1,1,0,0,1,887
"VietJet Air, Bamboo Airways",1928388,15-10-2025,12:15,DAD,17:40,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,15-10-2025,1,1,0,1,0,888
VietJet Air,2228986,15-10-2025,11:25,DAD,17:35,DLI,6h 10m,"1 điểm dừng
Tự trung chuyển",6.17,15-10-2025,0,0,0,0,0,889
"Vietnam Airlines, VietJet Air",2893913,15-10-2025,09:35,DAD,17:35,DLI,8h 0m,"1 điểm dừng
Tự trung chuyển",8.0,15-10-2025,1,1,1,0,0,890
Vietnam Airlines,1718435,16-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,16-10-2025,0,0,0,0,0,891
VietJet Air,1295353,16-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,16-10-2025,0,0,0,0,0,893
Vietnam Airlines,1718435,18-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,18-10-2025,0,0,0,0,0,896
VietJet Air,1295353,18-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,18-10-2025,0,0,0,0,0,898
VietJet Air,1662770,18-10-2025,14:55,DAD,19:30,DLI,4h 35m,"1 điểm dừng
Tự trung chuyển",4.58,18-10-2025,0,0,0,0,0,899
"Vietravel Airlines, Vietnam Airlines",1954252,18-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,18-10-2025,1,0,1,0,1,900
"Vietravel Airlines, Vietnam Airlines",2441781,20-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,20-10-2025,1,0,1,0,1,903
Vietnam Airlines,1718435,21-10-2025,06:05,DAD,07:15,DLI,1h 10m,Bay thẳng,1.17,21-10-2025,0,0,0,0,0,905
VietJet Air,1146482,21-10-2025,15:45,DAD,16:50,DLI,1h 5m,Bay thẳng,1.08,21-10-2025,0,0,0,0,0,907
"Vietravel Airlines, Bamboo Airways",1794219,21-10-2025,11:05,DAD,17:40,DLI,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,21-10-2025,1,0,0,1,1,908
"Vietravel Airlines, Vietnam Airlines",1842714,21-10-2025,11:05,DAD,18:20,DLI,7h 15m,"1 điểm dừng
Tự trung chuyển",7.25,21-10-2025,1,0,1,0,1,909
"Vietravel Airlines, Vietnam Airlines",1842714,21-10-2025,11:05,DAD,06:40,DLI,19h 35m,"1 điểm dừng
Tự trung chuyển",19.58,22-10-2025,1,0,1,0,1,910
"Vietravel Airlines, Vietnam Airlines",1843748,21-10-2025,11:05,DAD,09:50,DLI,22h 45m,"1 điểm dừng
Tự trung chuyển",22.75,22-10-2025,1,0,1,0,1,911
"Vietravel Airlines, Vietnam Airlines",1843748,21-10-2025,11:05,DAD,11:10,DLI,24h 5m,"1 điểm dừng
Tự trung chuyển",24.08,22-10-2025,1,0,1,0,1,912
"Vietravel Airlines, VietJet Air",1874112,21-10-2025,11:05,DAD,16:30,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,21-10-2025,1,1,0,0,1,913
"VietJet Air, Bamboo Airways",1926393,21-10-2025,07:40,DAD,17:40,DLI,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,21-10-2025,1,1,0,1,0,914
"VietJet Air, Bamboo Airways",1926393,21-10-2025,07:20,DAD,17:40,DLI,10h 20m,"1 điểm dừng
Tự trung chuyển",10.33,21-10-2025,1,1,0,1,0,915
"VietJet Air, Bamboo Airways",1926393,21-10-2025,23:15,DAD,17:40,DLI,18h 25m,"1 điểm dừng
Tự trung chuyển",18.42,22-10-2025,1,1,0,1,0,916
"VietJet Air, Bamboo Airways",1926393,21-10-2025,21:05,DAD,17:40,DLI,20h 35m,"1 điểm dừng
Tự trung chuyển",20.58,22-10-2025,1,1,0,1,0,917
"VietJet Air, Bamboo Airways",1926393,21-10-2025,19:45,DAD,17:40,DLI,21h 55m,"1 điểm dừng
Tự trung chuyển",21.92,22-10-2025,1,1,0,1,0,918
"VietJet Air, Bamboo Airways",1926393,21-10-2025,18:05,DAD,17:40,DLI,23h 35m,"1 điểm dừng
Tự trung chuyển",23.58,22-10-2025,1,1,0,1,0,919
"VietJet Air, Bamboo Airways",1928388,21-10-2025,12:15,DAD,17:40,DLI,5h 25m,"1 điểm dừng
Tự trung chuyển",5.42,21-10-2025,1,1,0,1,0,920
"VietJet Air, Vietnam Airlines",1976883,21-10-2025,12:15,DAD,18:20,DLI,6h 5m,"1 điểm dừng
Tự trung chuyển",6.08,21-10-2025,1,1,1,0,0,921
VietJet Air,2006286,21-10-2025,05:30,DAD,10:50,DLI,5h 20m,"1 điểm dừng
Tự trung chuyển",5.33,21-10-2025,0,0,0,0,0,922
"VietJet Air, Vietnam Airlines",2197965,21-10-2025,06:55,DAD,11:10,DLI,4h 15m,"1 điểm dừng
Tự trung chuyển",4.25,21-10-2025,1,1,1,0,0,923
"VietJet Air, Vietnam Airlines",2197965,21-10-2025,05:30,DAD,09:50,DLI,4h 20m,"1 điểm dừng
Tự trung chuyển",4.33,21-10-2025,1,1,1,0,0,924
"VietJet Air, Vietnam Airlines",2197965,21-10-2025,05:30,DAD,11:10,DLI,5h 40m,"1 điểm dừng
Tự trung chuyển",5.67,21-10-2025,1,1,1,0,0,925
VietJet Air,1155568,01-10-2025,11:20,DAD,13:05,PQC,1h 45m,Bay thẳng,1.75,01-10-2025,0,0,0,0,0,946
VietJet Air,1155568,01-10-2025,13:05,DAD,14:50,PQC,1h 45m,Bay thẳng,1.75,01-10-2025,0,0,0,0,0,947
VietJet Air,1663798,01-10-2025,07:40,DAD,12:35,PQC,4h 55m,"1 điểm dừng
Tự trung chuyển",4.92,01-10-2025,0,0,0,0,0,948
VietJet Air,1663798,01-10-2025,06:55,DAD,12:35,PQC,5h 40m,"1 điểm dừng
Tự trung chuyển",5.67,01-10-2025,0,0,0,0,0,949
"Vietravel Airlines, VietJet Air",1873931,01-10-2025,11:05,DAD,16:40,PQC,5h 35m,"1 điểm dừng
Tự trung chuyển",5.58,01-10-2025,1,1,0,0,1,950
"Vietravel Airlines, VietJet Air",1873931,01-10-2025,11:05,DAD,18:15,PQC,7h 10m,"1 điểm dừng
Tự trung chuyển",7.17,01-10-2025,1,1,0,0,1,951
VietJet Air,1890007,01-10-2025,07:40,DAD,15:05,PQC,7h 25m,"1 điểm dừng
Tự trung chuyển",7.42,01-10-2025,0,0,0,0,0,952
Vietravel Airlines,2052348,01-10-2025,11:05,DAD,18:25,PQC,7h 20m,"1 điểm dừng
Tự trung chuyển",7.33,01-10-2025,0,0,0,0,0,953
"Vietravel Airlines, Vietnam Airlines",2070636,01-10-2025,11:05,DAD,16:10,PQC,5h 5m,"1 điểm dừng
Tự trung chuyển",5.08,01-10-2025,1,0,1,0,1,954
VietJet Air,2228579,01-10-2025,05:30,DAD,17:40,PQC,12h 10m,"1 điểm dừng
Tự trung chuyển",12.17,01-10-2025,0,0,0,0,0,955
"Bamboo Airways, Vietravel Airlines",2543944,01-10-2025,08:25,DAD,18:25,PQC,10h 0m,"1 điểm dừng
Tự trung chuyển",10.0,01-10-2025,1,0,0,1,1,956
VietJet Air,3199650,28-10-2025,10:00,DAD,11:45,PQC,1h 45m,Bay thẳng,1.75,28-10-2025,0,0,0,0,0,970
VietJet Air,1660402,28-10-2025,13:10,DAD,19:30,PQC,6h 20m,"1 điểm dừng
Tự trung chuyển",6.33,28-10-2025,0,0,0,0,0,971
VietJet Air,1660402,28-10-2025,09:15,DAD,16:00,PQC,6h 45m,"1 điểm dừng
Tự trung chuyển",6.75,28-10-2025,0,0,0,0,0,972
VietJet Air,1660402,28-10-2025,08:05,DAD,16:00,PQC,7h 55m,"1 điểm dừng
Tự trung chuyển",7.92,28-10-2025,0,0,0,0,0,973
VietJet Air,1660402,28-10-2025,07:05,DAD,16:00,PQC,8h 55m,"1 điểm dừng
Tự trung chuyển",8.92,28-10-2025,0,0,0,0,0,974
VietJet Air,1660402,28-10-2025,07:00,DAD,16:00,PQC,9h 0m,"1 điểm dừng
Tự trung chuyển",9.0,28-10-2025,0,0,0,0,0,975
VietJet Air,1660402,28-10-2025,09:15,DAD,19:30,PQC,10h 15m,"1 điểm dừng
Tự trung chuyển",10.25,28-10-2025,0,0,0,0,0,976
VietJet Air,1660402,28-10-2025,07:00,DAD,19:30,PQC,12h 30m,"1 điểm dừng
Tự trung chuyển",12.5,28-10-2025,0,0,0,0,0,977
VietJet Air,1886243,28-10-2025,14:20,DAD,19:30,PQC,5h 10m,"1 điểm dừng
Tự trung chuyển",5.17,28-10-2025,0,0,0,0,0,978
VietJet Air,1886611,28-10-2025,07:05,DAD,12:40,PQC,5h 35m,"1 điểm dừng
Tự trung chuyển",5.58,28-10-2025,0,0,0,0,0,979
VietJet Air,3199650,29-10-2025,10:00,DAD,11:45,PQC,1h 45m,Bay thẳng,1.75,29-10-2025,0,0,0,0,0,980
VietJet Air,1660402,29-10-2025,14:20,DAD,19:30,PQC,5h 10m,"1 điểm dừng
Tự trung chuyển",5.17,29-10-2025,0,0,0,0,0,981
VietJet Air,1660402,29-10-2025,14:20,DAD,22:00,PQC,7h 40m,"1 điểm dừng
Tự trung chuyển",7.67,29-10-2025,0,0,0,0,0,982
VietJet Air,1660402,29-10-2025,08:05,DAD,16:00,PQC,7h 55m,"1 điểm dừng
Tự trung chuyển",7.92,29-10-2025,0,0,0,0,0,983
VietJet Air,1660402,29-10-2025,07:05,DAD,16:00,PQC,8h 55m,"1 điểm dừng
Tự trung chuyển",8.92,29-10-2025,0,0,0,0,0,984
VietJet Air,1660402,29-10-2025,07:00,DAD,16:00,PQC,9h 0m,"1 điểm dừng
Tự trung chuyển",9.0,29-10-2025,0,0,0,0,0,985
VietJet Air,1660402,29-10-2025,07:00,DAD,19:30,PQC,12h 30m,"1 điểm dừng
Tự trung chuyển",12.5,29-10-2025,0,0,0,0,0,986
VietJet Air,1660402,29-10-2025,08:05,DAD,22:00,PQC,13h 55m,"1 điểm dừng
Tự trung chuyển",13.92,29-10-2025,0,0,0,0,0,987
VietJet Air,1660402,29-10-2025,07:00,DAD,22:00,PQC,15h 0m,"1 điểm dừng
Tự trung chuyển",15.0,29-10-2025,0,0,0,0,0,988
VietJet Air,1886611,29-10-2025,07:00,DAD,12:40,PQC,5h 40m,"1 điểm dừng
Tự trung chuyển",5.67,29-10-2025,0,0,0,0,0,989
VietJet Air,2224450,29-10-2025,09:10,DAD,15:45,PQC,6h 35m,"1 điểm dừng
Tự trung chuyển",6.58,29-10-2025,0,0,0,0,0,990
VietJet Air,2281465,29-10-2025,09:15,DAD,19:30,PQC,10h 15m,"1 điểm dừng
Tự trung chuyển",10.25,29-10-2025,0,0,0,0,0,991
"Vietnam Airlines, VietJet Air",2371905,29-10-2025,07:45,DAD,19:30,PQC,11h 45m,"1 điểm dừng
Tự trung chuyển",11.75,29-10-2025,1,1,1,0,0,992
"VietJet Air, Vietnam Airlines",2509427,29-10-2025,07:00,DAD,11:25,PQC,4h 25m,"1 điểm dừng
Tự trung chuyển",4.42,29-10-2025,1,1,1,0,0,993
